user_id,recommended_items
user_1,"['item_9', 'item_19', 'item_4']"
user_10,"['item_17', 'item_20', 'item_4', 'item_12', 'item_13']"
user_100,"['item_2', 'item_11', 'item_3', 'item_1', 'item_20']"
user_11,"['item_3', 'item_17', 'item_4', 'item_18']"
user_12,"['item_19', 'item_13', 'item_17', 'item_7', 'item_18']"
user_13,"['item_5', 'item_6', 'item_17']"
user_14,"['item_7', 'item_9', 'item_17', 'item_11', 'item_18']"
user_15,"['item_1', 'item_20', 'item_7', 'item_16', 'item_17']"
user_16,"['item_10', 'item_6', 'item_14', 'item_17', 'item_7']"
user_17,"['item_5', 'item_16', 'item_12', 'item_7']"
user_18,['item_6']
user_19,"['item_7', 'item_19', 'item_15', 'item_17']"
user_2,"['item_1', 'item_4', 'item_3']"
user_20,"['item_6', 'item_13']"
user_21,"['item_8', 'item_12', 'item_3', 'item_10', 'item_2']"
user_22,"['item_13', 'item_16', 'item_3', 'item_10']"
user_23,"['item_1', 'item_4', 'item_15']"
user_24,"['item_13', 'item_19', 'item_16', 'item_10', 'item_18']"
user_25,"['item_2', 'item_13', 'item_6', 'item_10', 'item_9']"
user_26,['item_4']
user_27,"['item_6', 'item_17', 'item_7', 'item_20']"
user_28,"['item_20', 'item_18', 'item_15', 'item_16', 'item_10']"
user_29,"['item_16', 'item_14', 'item_13', 'item_3']"
user_3,"['item_7', 'item_18', 'item_8', 'item_17', 'item_1']"
user_30,"['item_18', 'item_3', 'item_17', 'item_13', 'item_20']"
user_31,['item_11']
user_32,"['item_4', 'item_9', 'item_15']"
user_33,"['item_9', 'item_17', 'item_11', 'item_3']"
user_34,"['item_13', 'item_19', 'item_16', 'item_10', 'item_18']"
user_35,"['item_8', 'item_14', 'item_11', 'item_20', 'item_6']"
user_36,"['item_16', 'item_14', 'item_13', 'item_3']"
user_37,"['item_17', 'item_18', 'item_14', 'item_13', 'item_4']"
user_38,"['item_12', 'item_8', 'item_1', 'item_14', 'item_9']"
user_39,"['item_13', 'item_6', 'item_2', 'item_3']"
user_4,"['item_6', 'item_18', 'item_17', 'item_16']"
user_40,"['item_5', 'item_7', 'item_6', 'item_10', 'item_3']"
user_41,"['item_18', 'item_8', 'item_11', 'item_4', 'item_15']"
user_42,"['item_17', 'item_2']"
user_43,"['item_13', 'item_19']"
user_44,"['item_11', 'item_16', 'item_17']"
user_45,"['item_19', 'item_4', 'item_11']"
user_46,"['item_12', 'item_13', 'item_7', 'item_6', 'item_17']"
user_47,"['item_4', 'item_6']"
user_48,"['item_10', 'item_1', 'item_11', 'item_20', 'item_13']"
user_49,"['item_10', 'item_17']"
user_5,"['item_20', 'item_19', 'item_1', 'item_8']"
user_50,"['item_9', 'item_7', 'item_4', 'item_18']"
user_51,"['item_13', 'item_3', 'item_20', 'item_1', 'item_14']"
user_52,"['item_11', 'item_9', 'item_20', 'item_1', 'item_8']"
user_53,"['item_16', 'item_14', 'item_13', 'item_3']"
user_54,"['item_4', 'item_6', 'item_7', 'item_11', 'item_18']"
user_55,"['item_9', 'item_12', 'item_13', 'item_20', 'item_2']"
user_56,"['item_3', 'item_17', 'item_4', 'item_18']"
user_57,"['item_20', 'item_6']"
user_58,"['item_15', 'item_10', 'item_17', 'item_11', 'item_1']"
user_59,"['item_15', 'item_10', 'item_12', 'item_11', 'item_7']"
user_6,"['item_20', 'item_3']"
user_60,"['item_19', 'item_1', 'item_18', 'item_13', 'item_16']"
user_61,"['item_20', 'item_3', 'item_6', 'item_18']"
user_62,['item_16']
user_64,"['item_19', 'item_13', 'item_17']"
user_65,"['item_3', 'item_17', 'item_4', 'item_18']"
user_66,"['item_17', 'item_18', 'item_11', 'item_4', 'item_5']"
user_67,"['item_12', 'item_7', 'item_8', 'item_17', 'item_15']"
user_68,"['item_5', 'item_17', 'item_18', 'item_9', 'item_14']"
user_69,"['item_9', 'item_7', 'item_4', 'item_18']"
user_7,"['item_9', 'item_10', 'item_13']"
user_70,"['item_11', 'item_13', 'item_9', 'item_5']"
user_71,"['item_4', 'item_13', 'item_3', 'item_1', 'item_12']"
user_72,"['item_8', 'item_14']"
user_73,['item_3']
user_74,"['item_12', 'item_20', 'item_17']"
user_75,"['item_15', 'item_1']"
user_76,"['item_3', 'item_5', 'item_10', 'item_9', 'item_12']"
user_77,"['item_5', 'item_19', 'item_9', 'item_4', 'item_12']"
user_78,"['item_1', 'item_10']"
user_79,"['item_4', 'item_6', 'item_9', 'item_13']"
user_8,"['item_7', 'item_9', 'item_18', 'item_1', 'item_14']"
user_80,"['item_18', 'item_2']"
user_81,"['item_13', 'item_19', 'item_16', 'item_10', 'item_18']"
user_82,"['item_3', 'item_15', 'item_4', 'item_14', 'item_8']"
user_83,"['item_1', 'item_10', 'item_17', 'item_11', 'item_7']"
user_84,"['item_15', 'item_6', 'item_12', 'item_7', 'item_17']"
user_86,"['item_20', 'item_7', 'item_18', 'item_14']"
user_87,"['item_11', 'item_19', 'item_18', 'item_17']"
user_88,"['item_18', 'item_9']"
user_89,"['item_6', 'item_3', 'item_17', 'item_11']"
user_9,"['item_11', 'item_1', 'item_3', 'item_14']"
user_90,"['item_5', 'item_17', 'item_20', 'item_12', 'item_6']"
user_91,"['item_19', 'item_13', 'item_17']"
user_92,"['item_11', 'item_7', 'item_12', 'item_4', 'item_2']"
user_93,"['item_8', 'item_2', 'item_7', 'item_18', 'item_11']"
user_94,"['item_1', 'item_20', 'item_16', 'item_10', 'item_19']"
user_95,"['item_8', 'item_10', 'item_20']"
user_96,"['item_1', 'item_17', 'item_6', 'item_10', 'item_12']"
user_97,"['item_19', 'item_13', 'item_17']"
user_98,"['item_2', 'item_17', 'item_12', 'item_11']"
user_99,"['item_13', 'item_4', 'item_10', 'item_15']"
